uid,浏览量,点赞量,观看作者数,观看作品数,观看作品平均时长,观看配乐数,完整观看数,去过的城市数,观看作品城市数
86,15,0,15,15,14.066666666666666,15.0,9,1.0,15.0
87,44,0,39,44,10.795454545454545,40.0,31,1.0,26.0
88,30,0,30,30,12.7,29.0,8,1.0,25.0
89,171,0,149,171,10.91812865497076,135.0,78,1.0,76.0
90,20,0,20,20,12.75,20.0,6,1.0,19.0
91,59,0,58,59,10.372881355932204,52.0,23,1.0,38.0
92,190,3,183,190,11.410526315789474,169.0,40,1.0,81.0
93,153,1,150,153,11.013071895424837,125.0,61,1.0,96.0
94,23,0,23,23,11.043478260869565,21.0,15,1.0,20.0
95,46,34,45,46,11.891304347826088,42.0,30,1.0,34.0
96,27,0,27,27,8.814814814814815,27.0,12,1.0,25.0
97,22,2,22,22,14.772727272727273,20.0,12,1.0,21.0
98,145,2,140,145,11.379310344827585,130.0,56,3.0,81.0
99,171,0,169,171,10.994152046783626,137.0,88,1.0,102.0
100,2,0,2,2,9.5,2.0,0,1.0,2.0
101,18,0,18,18,10.722222222222221,16.0,12,1.0,15.0
102,559,0,543,559,11.273703041144902,422.0,54,1.0,173.0
103,51,0,50,51,10.03921568627451,39.0,39,2.0,40.0
104,5,0,5,5,11.0,5.0,2,3.0,5.0
105,166,0,163,166,11.620481927710843,136.0,45,2.0,97.0
106,34,0,34,34,11.147058823529411,32.0,8,1.0,29.0
107,7,0,7,7,13.0,7.0,5,1.0,7.0
108,72,3,70,72,9.583333333333334,62.0,23,1.0,58.0
109,117,0,112,117,12.521367521367521,110.0,40,1.0,74.0
110,315,0,296,315,11.34920634920635,235.0,18,1.0,116.0
111,34,0,34,34,11.029411764705882,32.0,3,1.0,29.0
112,38,0,38,38,11.210526315789474,36.0,7,2.0,35.0
113,27,1,26,27,10.444444444444445,27.0,11,1.0,19.0
114,78,20,77,78,11.038461538461538,61.0,12,1.0,58.0
115,24,0,24,24,8.625,23.0,9,2.0,21.0
116,71,0,69,71,10.169014084507042,60.0,28,1.0,47.0
117,8,0,8,8,9.25,7.0,8,2.0,8.0
118,102,1,100,102,10.852941176470589,84.0,46,1.0,62.0
119,108,0,105,108,10.222222222222221,95.0,56,1.0,73.0
120,131,0,128,131,10.022900763358779,102.0,21,4.0,82.0
121,34,0,34,34,10.676470588235293,31.0,13,3.0,28.0
122,94,0,93,94,9.882978723404255,84.0,30,1.0,65.0
123,3,0,3,3,12.333333333333334,3.0,2,1.0,3.0
124,38,0,37,38,13.842105263157896,37.0,9,3.0,36.0
125,578,1,554,578,10.688581314878892,352.0,284,1.0,205.0
126,138,0,123,138,9.869565217391305,119.0,37,1.0,77.0
127,128,0,122,128,11.5546875,119.0,41,1.0,66.0
128,110,0,103,110,10.781818181818181,90.0,33,1.0,66.0
129,375,1,369,375,10.562666666666667,293.0,83,8.0,145.0
130,227,1,220,227,10.590308370044053,183.0,66,1.0,106.0
131,64,2,57,64,11.140625,64.0,7,1.0,47.0
132,106,0,103,106,11.70754716981132,97.0,55,1.0,73.0
133,53,0,53,53,12.358490566037736,45.0,17,1.0,45.0
134,217,0,211,217,11.84331797235023,186.0,54,2.0,126.0
135,7,0,7,7,9.857142857142858,7.0,4,1.0,7.0
136,12,0,12,12,12.5,12.0,6,1.0,11.0
137,33,0,33,33,11.06060606060606,30.0,17,1.0,31.0
138,147,0,140,147,10.217687074829932,132.0,89,1.0,79.0
139,15,0,15,15,12.2,15.0,9,1.0,14.0
140,28,0,28,28,10.142857142857142,28.0,15,1.0,28.0
141,14,0,14,14,11.642857142857142,14.0,7,1.0,12.0
142,115,0,115,115,11.060869565217391,85.0,32,1.0,81.0
143,103,0,103,103,11.864077669902912,91.0,16,1.0,69.0
144,33,0,32,33,10.303030303030303,31.0,11,1.0,20.0
145,68,46,68,68,12.014705882352942,60.0,8,1.0,52.0
146,251,0,239,251,10.450199203187251,225.0,43,1.0,115.0
147,149,0,141,149,11.442953020134228,137.0,16,6.0,89.0
148,90,0,86,90,11.733333333333333,71.0,23,1.0,67.0
149,69,0,69,69,12.55072463768116,52.0,39,1.0,57.0
150,38,2,38,38,10.973684210526315,35.0,12,1.0,24.0
151,22,0,22,22,9.090909090909092,22.0,15,1.0,19.0
152,17,0,17,17,13.882352941176471,16.0,7,1.0,14.0
153,2,0,2,2,9.5,2.0,1,1.0,2.0
154,24,0,24,24,11.708333333333334,21.0,12,1.0,19.0
155,384,0,360,384,11.434895833333334,268.0,110,1.0,144.0
156,35,0,35,35,9.971428571428572,30.0,1,1.0,33.0
157,42,0,42,42,12.452380952380953,40.0,19,1.0,37.0
158,11,0,11,11,10.181818181818182,10.0,7,1.0,11.0
159,23,0,23,23,11.0,23.0,15,1.0,21.0
160,197,0,186,197,10.532994923857869,166.0,30,1.0,108.0
162,82,0,82,82,10.451219512195122,73.0,45,1.0,65.0
163,64,0,61,64,11.328125,53.0,40,1.0,49.0
164,34,0,34,34,10.882352941176471,34.0,6,1.0,29.0
165,375,4,322,375,10.704,294.0,135,1.0,122.0
166,13,0,13,13,11.461538461538462,13.0,7,1.0,12.0
167,37,0,36,37,10.91891891891892,34.0,21,1.0,29.0
168,45,10,45,45,11.755555555555556,42.0,24,1.0,36.0
169,120,0,119,120,11.316666666666666,107.0,25,1.0,82.0
170,111,0,108,111,10.73873873873874,88.0,22,3.0,79.0
171,40,0,40,40,10.05,37.0,24,2.0,36.0
172,11,0,11,11,9.090909090909092,11.0,8,1.0,10.0
173,120,0,120,120,12.6,99.0,43,2.0,82.0
174,13,0,13,13,9.923076923076923,13.0,8,1.0,12.0
175,21,0,20,21,10.047619047619047,18.0,9,1.0,17.0
176,121,0,116,121,11.090909090909092,98.0,4,2.0,83.0
177,170,0,166,170,10.511764705882353,137.0,92,1.0,106.0
178,47,4,39,47,10.02127659574468,41.0,36,1.0,22.0
179,147,0,143,147,11.068027210884354,130.0,42,1.0,80.0
180,24,3,24,24,9.75,23.0,12,2.0,22.0
181,19,0,19,19,10.68421052631579,19.0,11,1.0,17.0
182,58,0,58,58,11.482758620689655,43.0,22,2.0,34.0
183,181,0,176,181,12.370165745856353,136.0,76,2.0,77.0
184,48,0,48,48,10.916666666666666,44.0,21,1.0,32.0
185,39,0,39,39,11.538461538461538,35.0,12,1.0,35.0
186,20,0,20,20,12.6,19.0,4,1.0,16.0
187,85,0,82,85,11.75294117647059,72.0,16,1.0,66.0
188,161,0,152,161,10.832298136645962,134.0,70,2.0,89.0
189,77,0,71,77,11.584415584415584,63.0,17,1.0,46.0
190,141,0,139,141,10.879432624113475,121.0,77,1.0,93.0
191,42,1,42,42,9.642857142857142,41.0,20,1.0,27.0
192,83,0,81,83,12.228915662650602,77.0,39,3.0,62.0
193,56,0,56,56,11.178571428571429,51.0,27,1.0,34.0
195,45,0,45,45,10.422222222222222,43.0,23,1.0,39.0
196,261,1,256,261,11.363984674329503,194.0,64,1.0,124.0
197,22,1,21,22,12.590909090909092,17.0,4,1.0,18.0
198,57,0,56,57,9.68421052631579,53.0,34,1.0,38.0
199,14,0,14,14,13.428571428571429,13.0,9,2.0,14.0
200,219,0,198,219,10.63013698630137,161.0,30,4.0,106.0
201,73,0,72,73,11.36986301369863,62.0,28,1.0,55.0
202,29,0,25,29,11.379310344827585,23.0,12,2.0,18.0
203,3,0,3,3,11.666666666666666,3.0,0,1.0,3.0
204,16,0,15,16,11.5625,16.0,11,1.0,14.0
205,44,1,41,44,10.068181818181818,43.0,12,1.0,29.0
206,53,3,51,53,10.735849056603774,48.0,21,1.0,42.0
207,127,0,124,127,11.645669291338583,109.0,18,1.0,84.0
208,85,0,83,85,10.458823529411765,65.0,9,1.0,68.0
209,129,0,123,129,11.108527131782946,110.0,42,1.0,71.0
210,51,0,48,51,11.607843137254902,43.0,30,1.0,40.0
211,28,0,28,28,11.357142857142858,25.0,21,1.0,26.0
212,40,0,40,40,9.8,40.0,6,1.0,30.0
213,2,0,2,2,9.5,2.0,1,1.0,2.0
214,27,0,27,27,11.296296296296296,23.0,17,1.0,23.0
215,58,0,58,58,11.53448275862069,51.0,26,1.0,47.0
216,84,0,80,84,11.642857142857142,71.0,6,2.0,60.0
217,15,0,15,15,9.0,15.0,8,1.0,12.0
218,106,0,98,106,11.179245283018869,91.0,38,1.0,59.0
219,44,0,40,44,9.704545454545455,43.0,22,1.0,32.0
220,195,3,188,195,10.953846153846154,177.0,80,1.0,59.0
221,148,1,140,148,10.824324324324325,126.0,29,1.0,88.0
222,65,0,59,65,11.23076923076923,60.0,23,1.0,50.0
223,4,0,4,4,17.0,4.0,2,1.0,4.0
224,17,0,15,17,10.235294117647058,17.0,5,3.0,15.0
225,777,0,728,777,10.675675675675675,547.0,53,2.0,172.0
226,13,0,13,13,8.384615384615385,12.0,1,1.0,12.0
228,79,0,79,79,10.936708860759493,73.0,38,3.0,64.0
229,20,0,20,20,14.0,20.0,17,1.0,17.0
230,28,0,27,28,11.464285714285714,28.0,21,1.0,22.0
231,71,0,71,71,11.52112676056338,59.0,27,1.0,50.0
232,43,0,40,43,12.395348837209303,40.0,21,1.0,29.0
233,28,0,28,28,11.857142857142858,26.0,19,2.0,27.0
234,58,0,56,58,11.120689655172415,56.0,23,1.0,48.0
235,193,0,191,193,10.652849740932643,131.0,67,1.0,96.0
236,34,0,34,34,11.294117647058824,31.0,22,1.0,28.0
237,51,0,51,51,11.137254901960784,37.0,15,2.0,42.0
238,64,0,64,64,11.515625,57.0,38,1.0,53.0
239,353,0,330,353,11.158640226628895,284.0,90,1.0,144.0
240,235,0,222,235,10.327659574468084,199.0,78,1.0,105.0
241,11,0,11,11,10.909090909090908,11.0,7,1.0,11.0
242,160,1,154,160,11.425,147.0,104,1.0,77.0
243,162,1,159,162,11.216049382716049,131.0,60,1.0,86.0
244,98,0,97,98,11.459183673469388,79.0,46,1.0,74.0
245,127,2,123,127,10.472440944881889,109.0,39,1.0,69.0
246,77,0,76,77,12.402597402597403,64.0,12,1.0,61.0
247,100,0,99,100,12.17,82.0,24,1.0,72.0
248,15,0,15,15,9.933333333333334,15.0,9,2.0,14.0
249,153,0,150,153,10.718954248366012,127.0,79,1.0,82.0
250,96,0,87,96,13.59375,82.0,58,2.0,71.0
251,82,0,77,82,10.146341463414634,69.0,17,1.0,58.0
252,16,0,15,16,12.375,15.0,14,1.0,13.0
253,33,1,33,33,10.636363636363637,31.0,13,1.0,26.0
254,73,0,72,73,12.424657534246576,55.0,29,1.0,58.0
255,133,0,133,133,11.864661654135338,115.0,64,1.0,84.0
256,90,0,87,90,11.577777777777778,82.0,43,1.0,57.0
257,8,0,8,8,14.625,8.0,2,1.0,8.0
258,85,0,79,85,10.729411764705882,72.0,29,2.0,51.0
259,53,0,52,53,11.566037735849056,51.0,14,1.0,39.0
260,6,0,5,6,10.333333333333334,6.0,5,1.0,4.0
261,226,0,216,226,11.353982300884956,174.0,52,1.0,90.0
262,8,0,8,8,8.375,8.0,1,1.0,2.0
263,4,0,4,4,8.25,4.0,4,1.0,4.0
264,42,5,41,42,11.214285714285714,39.0,19,2.0,37.0
265,42,0,41,42,10.571428571428571,38.0,28,1.0,35.0
266,16,0,16,16,10.9375,16.0,4,3.0,16.0
267,21,0,21,21,10.285714285714286,18.0,11,1.0,18.0
268,54,2,52,54,9.981481481481481,48.0,34,1.0,46.0
269,42,0,39,42,10.476190476190476,39.0,24,1.0,37.0
270,91,0,91,91,10.505494505494505,77.0,46,1.0,59.0
271,63,0,63,63,9.793650793650794,53.0,23,1.0,45.0
272,19,0,19,19,10.631578947368421,18.0,13,1.0,16.0
273,42,0,39,42,12.80952380952381,37.0,19,1.0,31.0
274,686,0,543,686,10.903790087463557,405.0,104,2.0,173.0
275,238,0,234,238,11.77310924369748,186.0,65,1.0,112.0
276,152,0,144,152,11.539473684210526,139.0,23,1.0,75.0
277,35,0,33,35,9.971428571428572,32.0,1,1.0,23.0
278,45,0,44,45,9.777777777777779,42.0,17,1.0,36.0
279,26,0,26,26,10.076923076923077,24.0,5,1.0,24.0
280,107,0,104,107,10.485981308411215,101.0,66,1.0,61.0
281,77,1,75,77,13.35064935064935,71.0,37,1.0,61.0
282,12,0,12,12,9.583333333333334,12.0,7,1.0,11.0
283,111,1,107,111,10.783783783783784,96.0,32,1.0,65.0
284,212,0,206,212,11.471698113207546,147.0,120,4.0,119.0
285,25,0,25,25,14.72,25.0,7,1.0,24.0
286,185,0,175,185,11.356756756756758,169.0,77,1.0,95.0
287,31,0,31,31,10.483870967741936,28.0,14,2.0,26.0
288,37,0,34,37,11.216216216216216,33.0,13,1.0,25.0
289,40,0,40,40,11.4,36.0,20,1.0,36.0
290,46,0,46,46,11.73913043478261,40.0,25,1.0,38.0
291,57,0,56,57,12.789473684210526,54.0,40,1.0,50.0
292,13,0,13,13,8.23076923076923,13.0,3,1.0,12.0
293,196,0,195,196,10.35204081632653,153.0,99,1.0,106.0
294,66,10,65,66,11.303030303030303,59.0,46,2.0,51.0
295,319,1,316,319,10.761755485893417,215.0,62,1.0,113.0
296,6,0,6,6,9.166666666666666,6.0,0,1.0,6.0
297,67,1,66,67,10.059701492537313,59.0,34,1.0,47.0
298,188,0,186,188,11.388297872340425,170.0,80,1.0,108.0
299,35,0,35,35,11.82857142857143,31.0,19,1.0,32.0
300,19,0,18,19,12.052631578947368,19.0,7,1.0,14.0
301,125,1,124,125,10.4,100.0,12,1.0,74.0
302,45,0,45,45,10.066666666666666,45.0,22,1.0,39.0
303,6,0,6,6,9.333333333333334,6.0,3,1.0,6.0
304,12,0,12,12,10.083333333333334,12.0,4,1.0,10.0
305,107,0,100,107,11.906542056074766,96.0,12,1.0,79.0
306,19,0,18,19,12.263157894736842,17.0,5,1.0,15.0
307,24,0,24,24,11.208333333333334,23.0,14,1.0,22.0
308,9,0,9,9,9.0,9.0,6,1.0,8.0
309,90,0,85,90,11.544444444444444,71.0,14,2.0,58.0
310,3,0,3,3,8.666666666666666,3.0,2,1.0,3.0
311,113,0,112,113,10.91150442477876,93.0,38,1.0,79.0
312,28,0,28,28,12.5,26.0,14,1.0,23.0
313,76,0,75,76,11.210526315789474,72.0,12,1.0,65.0
314,65,0,65,65,12.553846153846154,53.0,34,1.0,54.0
315,9,0,9,9,10.222222222222221,8.0,5,1.0,6.0
316,22,0,22,22,10.272727272727273,22.0,11,1.0,22.0
317,63,0,62,63,10.555555555555555,54.0,19,1.0,45.0
318,42,0,39,42,10.666666666666666,40.0,6,1.0,33.0
319,69,0,68,69,11.507246376811594,66.0,20,1.0,63.0
320,35,1,35,35,13.914285714285715,29.0,21,1.0,32.0
321,28,0,28,28,12.607142857142858,27.0,23,1.0,25.0
322,78,0,78,78,12.025641025641026,62.0,48,2.0,64.0
323,127,0,125,127,11.440944881889763,113.0,50,1.0,76.0
324,44,1,44,44,10.795454545454545,39.0,21,1.0,41.0
325,21,0,21,21,14.047619047619047,19.0,14,1.0,20.0
326,92,0,86,92,10.608695652173912,85.0,48,1.0,58.0
327,21,0,21,21,8.285714285714286,21.0,3,1.0,20.0
328,48,0,47,48,12.645833333333334,45.0,21,1.0,39.0
329,1,0,1,1,10.0,1.0,0,1.0,1.0
330,17,0,17,17,12.941176470588236,14.0,10,2.0,16.0
331,175,0,164,175,11.348571428571429,145.0,41,1.0,96.0
332,107,0,100,107,10.607476635514018,90.0,45,1.0,58.0
333,103,0,88,103,10.660194174757281,91.0,46,1.0,54.0
334,84,0,80,84,12.75,74.0,33,1.0,65.0
335,19,0,19,19,15.105263157894736,19.0,13,1.0,19.0
336,35,1,35,35,10.342857142857143,29.0,23,1.0,31.0
337,192,0,182,192,10.692708333333334,154.0,18,1.0,104.0
338,26,0,26,26,11.576923076923077,26.0,11,1.0,23.0
339,168,0,158,168,11.285714285714286,156.0,43,1.0,86.0
340,39,0,35,39,10.102564102564102,37.0,34,1.0,32.0
341,74,1,72,74,12.0,66.0,40,1.0,63.0
342,81,1,79,81,11.555555555555555,68.0,17,1.0,34.0
343,114,0,113,114,10.824561403508772,100.0,30,1.0,74.0
344,39,1,38,39,11.871794871794872,37.0,19,1.0,32.0
345,108,3,104,108,9.601851851851851,100.0,67,1.0,51.0
346,31,0,31,31,12.161290322580646,30.0,11,1.0,28.0
347,224,0,223,224,11.410714285714286,182.0,50,4.0,104.0
348,52,0,49,52,11.576923076923077,41.0,21,1.0,33.0
349,30,0,30,30,11.966666666666667,29.0,12,2.0,27.0
350,175,0,172,175,10.971428571428572,159.0,71,1.0,107.0
351,43,0,43,43,10.44186046511628,39.0,15,1.0,38.0
352,15,0,15,15,12.466666666666667,15.0,6,3.0,14.0
353,3,0,3,3,8.0,3.0,3,1.0,3.0
354,458,0,439,458,10.991266375545852,310.0,223,1.0,170.0
355,3,0,3,3,6.666666666666667,3.0,3,1.0,3.0
356,26,0,26,26,16.73076923076923,26.0,14,1.0,25.0
357,4,0,4,4,9.5,4.0,3,1.0,4.0
358,55,0,53,55,9.672727272727272,50.0,46,1.0,40.0
359,30,0,30,30,10.1,28.0,10,1.0,27.0
360,59,3,58,59,10.966101694915254,58.0,17,1.0,46.0
361,27,0,27,27,11.296296296296296,26.0,16,1.0,24.0
362,24,0,22,24,12.041666666666666,22.0,5,1.0,20.0
363,59,2,57,59,9.983050847457626,53.0,31,1.0,43.0
364,322,0,310,322,10.819875776397515,233.0,103,1.0,135.0
365,163,0,160,163,10.220858895705522,122.0,52,4.0,107.0
366,50,0,49,50,10.48,48.0,19,7.0,36.0
367,35,0,34,35,12.2,32.0,25,1.0,32.0
368,8,0,8,8,9.25,8.0,4,1.0,8.0
369,56,0,54,56,10.071428571428571,50.0,27,1.0,40.0
370,182,0,176,182,15.032967032967033,123.0,59,2.0,97.0
372,90,0,90,90,10.077777777777778,75.0,29,2.0,67.0
373,224,0,217,224,11.245535714285714,179.0,16,1.0,124.0
374,10,0,10,10,12.2,10.0,5,1.0,9.0
375,28,1,28,28,12.821428571428571,23.0,17,1.0,23.0
376,21,0,21,21,12.0,20.0,10,1.0,14.0
377,27,0,27,27,13.777777777777779,24.0,15,1.0,22.0
378,5,0,5,5,9.6,5.0,2,1.0,2.0
379,113,16,106,113,9.79646017699115,101.0,30,1.0,63.0
380,40,4,27,40,11.175,39.0,17,2.0,20.0
381,24,0,24,24,9.708333333333334,22.0,16,1.0,22.0
382,114,0,111,114,10.771929824561404,92.0,28,1.0,75.0
383,21,0,21,21,9.857142857142858,20.0,7,1.0,20.0
384,460,0,452,460,11.171739130434782,307.0,101,1.0,193.0
385,148,0,147,148,10.756756756756756,118.0,34,2.0,92.0
386,82,0,79,82,10.634146341463415,73.0,10,1.0,60.0
387,48,8,48,48,11.875,47.0,30,1.0,38.0
388,73,0,71,73,10.273972602739725,67.0,30,1.0,48.0
389,58,0,58,58,12.568965517241379,54.0,28,1.0,47.0
390,32,0,31,32,11.8125,32.0,12,1.0,25.0
391,62,0,61,62,11.03225806451613,59.0,17,1.0,46.0
392,47,0,47,47,10.72340425531915,42.0,24,2.0,40.0
393,2,0,2,2,13.5,2.0,2,1.0,2.0
394,110,0,110,110,11.218181818181819,85.0,38,1.0,82.0
395,100,0,98,100,10.98,92.0,22,1.0,67.0
396,48,0,47,48,10.5625,45.0,26,1.0,35.0
397,6,0,6,6,13.5,5.0,3,2.0,5.0
398,74,0,72,74,10.837837837837839,69.0,40,1.0,59.0
399,10,0,10,10,9.0,10.0,3,1.0,9.0
400,246,1,243,246,10.979674796747968,188.0,60,1.0,119.0
401,26,0,26,26,11.76923076923077,22.0,9,1.0,22.0
402,20,0,19,20,10.15,18.0,13,1.0,17.0
403,562,0,492,562,10.777580071174377,380.0,149,1.0,157.0
404,58,0,57,58,10.844827586206897,50.0,28,4.0,46.0
405,26,4,25,26,10.576923076923077,24.0,14,1.0,23.0
406,38,1,38,38,10.710526315789474,38.0,28,1.0,32.0
407,187,0,177,187,11.67379679144385,169.0,51,1.0,92.0
408,65,0,64,65,10.553846153846154,58.0,37,1.0,50.0
409,7,0,7,7,8.571428571428571,7.0,1,1.0,7.0
410,67,0,64,67,10.417910447761194,57.0,21,1.0,45.0
411,105,0,104,105,10.847619047619048,84.0,22,1.0,71.0
412,6,0,6,6,10.333333333333334,6.0,3,1.0,6.0
413,184,0,183,184,11.0,150.0,59,3.0,75.0
414,375,1,342,375,10.845333333333333,289.0,33,1.0,121.0
415,9,0,9,9,15.333333333333334,9.0,5,1.0,8.0
416,55,0,55,55,10.454545454545455,48.0,17,1.0,45.0
417,70,0,70,70,9.657142857142857,66.0,12,1.0,53.0
418,86,0,86,86,11.244186046511627,65.0,26,2.0,59.0
419,221,11,204,221,10.592760180995475,183.0,77,1.0,106.0
420,20,0,20,20,12.7,18.0,8,1.0,17.0
421,18,0,18,18,13.833333333333334,18.0,17,1.0,18.0
422,35,0,35,35,12.914285714285715,34.0,15,1.0,27.0
423,33,0,33,33,12.181818181818182,32.0,18,1.0,27.0
424,41,0,41,41,11.195121951219512,39.0,13,1.0,35.0
425,24,0,24,24,10.791666666666666,19.0,14,1.0,23.0
426,49,0,48,49,10.673469387755102,47.0,15,2.0,42.0
427,11,0,11,11,10.454545454545455,11.0,5,1.0,10.0
428,4,0,4,4,14.25,4.0,2,1.0,3.0
429,32,0,32,32,10.0625,29.0,23,1.0,26.0
430,23,0,23,23,12.08695652173913,21.0,10,1.0,21.0
431,36,0,36,36,10.666666666666666,29.0,8,1.0,28.0
432,134,0,117,134,10.843283582089553,106.0,46,1.0,65.0
433,24,0,23,24,16.125,23.0,8,1.0,18.0
434,35,1,35,35,10.885714285714286,32.0,22,1.0,31.0
435,256,0,250,256,10.85546875,164.0,79,1.0,129.0
436,12,0,11,12,10.5,12.0,6,1.0,11.0
437,58,0,58,58,12.413793103448276,45.0,30,2.0,48.0
438,114,0,110,114,10.271929824561404,103.0,25,1.0,78.0
439,61,0,59,61,11.245901639344263,55.0,34,1.0,48.0
440,76,0,72,76,11.736842105263158,65.0,12,1.0,52.0
441,19,0,19,19,15.473684210526315,18.0,10,1.0,17.0
442,191,0,161,191,10.602094240837696,169.0,11,1.0,95.0
443,31,0,31,31,10.129032258064516,31.0,17,5.0,30.0
444,27,0,27,27,11.962962962962964,25.0,6,1.0,24.0
445,29,0,28,29,10.586206896551724,29.0,14,1.0,20.0
